-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     nvjet_tst_64x64_64x13_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.022ms         0.02%       2.022ms      28.087us            72  
                                       _vllm_fa3_C::fwd         0.03%       3.236ms         0.06%       6.981ms      48.482us       1.885ms         0.02%       2.102ms      14.598us           144  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.849ms         0.02%       1.849ms       1.179us          1568  
              nvjet_tst_64x136_64x8_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.508ms         0.01%       1.508ms      41.877us            36  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       1.494ms         0.01%       1.494ms      13.830us           108  
              nvjet_tst_64x96_64x10_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.450ms         0.01%       1.450ms      40.270us            36  
                                       cuLaunchKernelEx         0.19%      22.473ms         0.21%      24.613ms       6.631us       1.098ms         0.01%       1.537ms       0.414us          3712  
                                    cudaStreamWaitEvent         0.03%       3.242ms         0.03%       3.242ms       2.067us       1.058ms         0.01%       1.058ms       0.675us          1568  
                     nvjet_tst_64x136_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     799.486us         0.01%     799.486us      22.208us            36  
                     nvjet_tst_64x96_64x10_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     755.325us         0.01%     755.325us      20.981us            36  
                     nvjet_tst_96x64_64x10_1x2_h_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     740.156us         0.01%     740.156us      20.560us            36  
                                        cudaEventRecord         0.05%       6.419ms         0.05%       6.419ms       2.044us     633.791us         0.01%     633.791us       0.202us          3140  
                     nvjet_tst_64x72_64x12_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     623.514us         0.01%     623.514us      17.320us            36  
                     nvjet_tst_64x48_64x15_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     540.800us         0.01%     540.800us      15.022us            36  
                      triton_poi_fused_mul_silu_slice_1         0.01%       1.537ms         0.02%       2.115ms      14.685us     453.819us         0.00%     453.819us       3.152us           144  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.02%       1.860ms         0.02%       2.424ms      16.833us     432.833us         0.00%     432.833us       3.006us           144  
                                  Lazy Function Loading         0.00%     575.382us         0.00%     575.382us      47.948us     426.335us         0.00%     426.335us      35.528us            12  
                  _C_cache_ops::reshape_and_cache_flash         0.01%     819.896us         0.01%       1.591ms      11.048us     412.356us         0.00%     412.356us       2.864us           144  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.02%       1.805ms         0.02%       2.369ms      16.919us     391.902us         0.00%     391.902us       2.799us           140  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     391.771us         0.00%     391.771us      10.883us            36  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.02%       2.308ms         0.02%       2.915ms      20.246us     378.881us         0.00%     378.881us       2.631us           144  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.01%       1.550ms         0.02%       2.055ms      14.676us     368.224us         0.00%     368.224us       2.630us           140  
                                        cudaGraphLaunch         9.44%        1.112s        10.09%        1.188s     759.488us     319.933us         0.00%     324.541us       0.208us          1564  
                                     triton_red_fused_3         0.01%       1.298ms         0.02%       2.023ms      14.449us     265.916us         0.00%     265.916us       1.899us           140  
                                Activity Buffer Request         0.72%      84.626ms         0.72%      84.626ms       1.801ms      32.320us         0.00%      32.320us       0.688us            47  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%     158.821us         0.00%     204.109us      51.027us      12.064us         0.00%      12.064us       3.016us             4  
                                           Buffer Flush         0.16%      18.626ms         0.16%      18.665ms     333.312us      11.200us         0.00%      11.200us       0.200us            56  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%      92.927us         0.00%     116.953us      29.238us      11.040us         0.00%      11.040us       2.760us             4  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%      69.640us         0.00%      92.016us      23.004us      10.400us         0.00%      10.400us       2.600us             4  
                                     triton_red_fused_1         0.00%     118.539us         0.00%     152.322us      38.080us       7.424us         0.00%       7.424us       1.856us             4  
                   execute_context_1(6)_generation_0(0)         0.08%       9.308ms         0.33%      38.345ms      38.345ms       0.000us         0.00%       6.687ms       6.687ms             1  
                                            aten::slice         0.90%     105.832ms         1.11%     131.017ms       1.886us       0.000us         0.00%       0.000us       0.000us         69452  
                                       aten::as_strided         0.27%      31.790ms         0.27%      31.790ms       0.398us       0.000us         0.00%       0.000us       0.000us         79864  
                                        cudaMemcpyAsync         1.13%     133.515ms         1.13%     133.518ms       7.096us       0.000us         0.00%       0.000us       0.000us         18816  
                                       aten::lift_fresh         0.01%     966.328us         0.01%     966.328us       0.205us       0.000us         0.00%       0.000us       0.000us          4704  
                                          aten::flatten         0.03%       3.302ms         0.07%       8.011ms       5.109us       0.000us         0.00%       0.000us       0.000us          1568  
                                             aten::view         0.09%      11.058ms         0.09%      11.058ms       1.763us       0.000us         0.00%       0.000us       0.000us          6272  
                                     aten::index_select         0.04%       4.315ms         0.04%       4.315ms       2.752us       0.000us         0.00%       0.000us       0.000us          1568  
                                           aten::detach         0.05%       5.344ms         0.05%       5.344ms       1.704us       0.000us         0.00%       0.000us       0.000us          3136  
                                               aten::to         0.11%      13.469ms         1.72%     202.628ms      16.153us       0.000us         0.00%      19.816ms       1.580us         12544  
                                     aten::resolve_conj         0.00%     588.339us         0.00%     588.339us       0.188us       0.000us         0.00%       0.000us       0.000us          3136  
                                      aten::resolve_neg         0.00%     510.185us         0.00%     510.185us       0.163us       0.000us         0.00%       0.000us       0.000us          3136  
                                       cudaLaunchKernel         1.24%     145.912ms         1.25%     147.734ms       7.048us       0.000us         0.00%       5.120us       0.000us         20960  
                                          aten::reshape         0.03%       3.516ms         0.07%       8.305ms       2.648us       0.000us         0.00%       0.000us       0.000us          3136  
                                         aten::_to_copy         0.24%      27.819ms         1.61%     189.159ms      24.127us       0.000us         0.00%      19.816ms       2.528us          7840  
                                    aten::empty_strided         0.33%      39.280ms         0.42%      49.057ms       6.144us       0.000us         0.00%       0.000us       0.000us          7984  
                                               aten::lt         0.06%       6.716ms         0.06%       6.716ms       4.283us       0.000us         0.00%       0.000us       0.000us          1568  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.775s
Self CUDA time total: 10.264s

